batch_id,timestamp,temperature,speed,pressure,vibration
B101,2026-09-15 08:00:00,196.24,14.92,4.3,1.38
B102,2026-09-15 12:00:00,194.41,14.86,4.44,1.29
B103,2026-09-15 16:00:00,193.83,15.33,4.13,1.14
B104,2026-09-15 20:00:00,195.6,13.85,3.94,1.13
B105,2026-09-16 00:00:00,192.47,15.19,4.06,1.03
B106,2026-09-16 04:00:00,198.66,14.86,4.21,1.03
B107,2026-09-16 08:00:00,193.64,15.07,4.03,1.25
B108,2026-09-16 12:00:00,193.5,14.82,4.11,1.42
B109,2026-09-16 16:00:00,194.97,14.37,4.32,1.05
B110,2026-09-16 20:00:00,195.52,13.82,4.0,1.22
B111,2026-09-17 00:00:00,196.85,15.1,4.18,1.16
B112,2026-09-17 04:00:00,214.3,17.77,4.78,2.28
B113,2026-09-17 08:00:00,218.86,17.14,4.9,2.1
B114,2026-09-17 12:00:00,216.31,18.57,5.0,2.26
B115,2026-09-17 16:00:00,215.9,18.01,4.9,2.27
B116,2026-09-17 20:00:00,216.8,18.09,4.68,2.01
B117,2026-09-18 00:00:00,197.03,15.81,4.19,1.32
B118,2026-09-18 04:00:00,195.9,14.61,4.25,1.38
B119,2026-09-18 08:00:00,194.91,15.94,3.81,1.3
B120,2026-09-18 12:00:00,195.22,14.82,4.21,0.96
